PersonID,FirstName,Surname,Gender,Age,HomeDistrictID,RingID,MOTags,OffenderType,FatherName
1,Thimmaiah,Bhat,M,41,15,,narcotics,oneoff,Eshwar
2,Latha,Mallya,F,44,19,,narcotics,oneoff,Suresh
3,Abdul,Talawar,M,32,30,,vehicle,oneoff,Santosh
4,Mohammed,Shanbhag,M,54,21,,"narcotics,market_area",oneoff,Madhu
5,Vidya,Mallya,F,55,2,,"interstate,cyber",oneoff,Nandish
6,Nandish,Pawar,M,42,8,,"night_ops,narcotics",oneoff,Naveen
7,Nithin,Shetty,M,42,11,,night_ops,oneoff,Lokesh
8,Umesh,Uppar,M,55,20,,"weapon,narcotics",oneoff,Vijay
9,Umesh,Suvarna,M,23,24,,vehicle,oneoff,Chetan
10,Sandeep,Talawar,M,54,24,,"cyber,weapon",oneoff,Lokesh
11,Yogesh,Gaonkar,M,19,7,,night_ops,oneoff,Sunil
12,Rizwan,Naik,M,53,11,,"cyber,interstate",oneoff,Sharath
13,Yogesh,Angadi,M,18,26,,"market_area,vehicle",oneoff,Nithin
14,Vinay,Rai,M,28,22,,"weapon,cyber",oneoff,Basavaraj
15,Kavya,Pawar,F,40,7,,"narcotics,vehicle",oneoff,Thimmaiah
16,Tanveer,Suvarna,M,44,7,,"vehicle,market_area",oneoff,Mahesh
17,Manjunath,Devadiga,M,24,27,,weapon,oneoff,Ravi
18,Ishwarya,Lamani,F,40,5,,"night_ops,market_area",oneoff,Waseem
19,Srinivas,Sharma,M,20,10,,"narcotics,interstate",oneoff,Balaji
20,Ganesh,Chavan,M,45,4,,narcotics,oneoff,Vinay
21,Girish,Wali,M,42,24,,"market_area,night_ops",oneoff,Puneeth
22,Thimmaiah,Doddamani,M,46,23,,"cyber,weapon",oneoff,Lokesh
23,Nandish,Desai,M,24,9,,market_area,oneoff,Tanveer
24,Dhanya,Angadi,F,27,29,,narcotics,oneoff,Anil
25,Vinay,Reddy,M,23,23,,cyber,oneoff,Ravi
26,Yashwanth,Salian,M,29,30,,"market_area,cyber",oneoff,Sharath
27,Santosh,Bandi,M,44,15,,"weapon,night_ops",oneoff,Srinivas
28,Rajesh,Kattimani,M,40,23,,"vehicle,market_area",oneoff,Hanumantha
29,Srinivas,Badiger,M,26,21,,night_ops,oneoff,Sunil
30,Nithin,Kodagu,M,35,4,,weapon,oneoff,Karthik
31,Madhu,Chavan,M,34,8,,cyber,oneoff,Yashwanth
32,Uday,Madiwalar,M,26,24,,"market_area,interstate",oneoff,Srinivas
33,Madhu,Gowda,M,51,1,,interstate,oneoff,Tanveer
34,Prakash,Chavan,M,39,28,,"narcotics,night_ops",oneoff,Raghavendra
35,Tejaswini,Murthy,F,32,22,,"weapon,interstate",oneoff,Zameer
36,Dinesh,Pawar,M,49,21,,vehicle,oneoff,Rajesh
37,Farhan,Kodagu,M,42,10,,"cyber,vehicle",oneoff,Yashwanth
38,Kalpana,Acharya,F,46,29,,"interstate,night_ops",oneoff,Suresh
39,Sunitha,Belagavi,F,44,22,,interstate,oneoff,Tanveer
40,Hanumantha,Bhat,M,44,8,,"night_ops,weapon",oneoff,Prakash
41,Srinivas,Acharya,M,40,24,,"narcotics,vehicle",oneoff,Nandish
42,Vinay,Nayaka,M,35,31,,vehicle,oneoff,Farhan
43,Jagadish,Bhat,M,34,11,,"night_ops,interstate",oneoff,Shivakumar
44,Zameer,Badiger,M,25,19,,"cyber,interstate",oneoff,Harish
45,Pavan,Gowda,M,33,3,,night_ops,oneoff,Hanumantha
46,Indira,Kulkarni,F,43,25,,interstate,oneoff,Umesh
47,Nandish,Shetty,M,47,29,,"narcotics,weapon",oneoff,Ganesh
48,Omkar,Pujari,M,39,6,,"interstate,night_ops",oneoff,Rajesh
49,Akshata,Pujari,F,49,18,,weapon,oneoff,Ramesh
50,Balaji,Bhat,M,30,25,,interstate,oneoff,Eshwar
51,Kiran,Kamath,M,19,28,,market_area,oneoff,Lohith
52,Hanumantha,Talawar,M,52,9,,"vehicle,night_ops",oneoff,Karthik
53,Rekha,Kodagu,F,31,11,,weapon,oneoff,Manjunath
54,Sunil,Pujari,M,21,5,,vehicle,oneoff,Yashwanth
55,Sharath,Uppar,M,26,23,,interstate,oneoff,Mohammed
56,Girish,Khan,M,30,24,,cyber,oneoff,Farhan
57,Yashoda,Desai,F,53,29,,market_area,oneoff,Srinivas
58,Omkar,Lamani,M,35,22,,"weapon,vehicle",oneoff,Dinesh
59,Tanveer,Kamath,M,27,22,,"vehicle,market_area",oneoff,Waseem
60,Darshan,Acharya,M,24,23,,"night_ops,cyber",oneoff,Umesh
61,Naveen,Hegde,M,33,31,,night_ops,oneoff,Santosh
62,Abdul,Madiwalar,M,55,19,,vehicle,oneoff,Santosh
63,Jagadish,Badiger,M,32,9,,"vehicle,narcotics",oneoff,Prakash
64,Yashwanth,Gaonkar,M,54,31,,vehicle,oneoff,Suresh
65,Karthik,Pawar,M,48,21,,night_ops,oneoff,Anil
66,Mahesh,Iyer,M,42,14,,market_area,oneoff,Naveen
67,Naveen,Murthy,M,39,8,,cyber,oneoff,Yashwanth
68,Sharath,Mallya,M,28,14,,vehicle,oneoff,Abdul
69,Chetan,Hiremath,M,22,12,,weapon,oneoff,Mohammed
70,Krishna,Bandi,M,30,3,,night_ops,oneoff,Sandeep
71,Karthik,Desai,M,28,26,,vehicle,oneoff,Girish
72,Lakshmi,Mallya,F,21,8,,vehicle,oneoff,Varun
73,Pavan,Hiremath,M,29,27,,"night_ops,market_area",oneoff,Devaraj
74,Naveen,Uppar,M,37,31,,"cyber,weapon",oneoff,Dinesh
75,Girish,Mallya,M,46,11,,vehicle,oneoff,Nagaraj
76,Srinivas,Mallya,M,37,9,,narcotics,oneoff,Nandish
77,Anand,Doddamani,M,44,4,,vehicle,repeat,Chetan
78,Waseem,Reddy,M,52,12,,cyber,oneoff,Thimmaiah
79,Karthik,Bandi,M,18,26,,"night_ops,vehicle",oneoff,Umesh
80,Suresh,Kattimani,M,45,16,,night_ops,oneoff,Santosh
81,Praveen,Shetty,M,33,16,,"night_ops,narcotics",oneoff,Vijay
82,Srinivas,Mudaliar,M,30,28,,"narcotics,cyber",oneoff,Vinay
83,Kiran,Madiwalar,M,31,24,,"narcotics,interstate",oneoff,Mohammed
84,Kiran,Pujari,M,29,17,,"market_area,night_ops",oneoff,Anand
85,Pallavi,Suvarna,F,46,8,,"vehicle,market_area",oneoff,Umesh
86,Yashoda,Khan,F,38,9,,weapon,oneoff,Tanveer
87,Sandeep,Uppar,M,19,9,,"narcotics,vehicle",oneoff,Karthik
88,Anil,Iyer,M,31,10,,interstate,oneoff,Pavan
89,Kiran,Madiwalar,M,55,23,,interstate,oneoff,Varun
90,Raghavendra,Kumar,M,28,23,,"market_area,vehicle",oneoff,Rizwan
91,Yashwanth,Desai,M,36,14,,"weapon,vehicle",oneoff,Anil
92,Vinay,Devadiga,M,47,1,,"interstate,narcotics",oneoff,Eshwar
93,Arun,Hiremath,M,25,3,,weapon,oneoff,Chandru
94,Ganesh,Chavan,M,52,2,,interstate,oneoff,Girish
95,Santosh,Kattimani,M,27,12,,weapon,oneoff,Basavaraj
96,Sharath,Salian,M,29,23,,cyber,oneoff,Praveen
97,Zameer,Bandi,M,49,9,,narcotics,oneoff,Chandru
98,Tejaswini,Pujari,F,18,23,,"interstate,vehicle",oneoff,Varun
99,Anil,Khan,M,50,9,,market_area,oneoff,Manjunath
100,Ganesh,Desai,M,28,26,,market_area,oneoff,Ramesh
101,Vijay,Kodagu,M,54,8,,narcotics,oneoff,Girish
102,Ganesh,Bhat,M,50,13,,"market_area,vehicle",oneoff,Sharath
103,Nithin,Hiremath,M,27,31,,interstate,oneoff,Anand
104,Srinivas,Hegde,M,52,2,,"weapon,night_ops",oneoff,Manjunath
105,Mohammed,Doddamani,M,33,12,,weapon,oneoff,Srinivas
106,Vijay,Bandi,M,49,15,,weapon,oneoff,Basavaraj
107,Puneeth,Pujari,M,21,3,,"vehicle,night_ops",oneoff,Sandeep
108,Praveen,Kulkarni,M,51,25,,"cyber,narcotics",oneoff,Rizwan
109,Ganesh,Chavan,M,33,15,,interstate,oneoff,Varun
110,Yogesh,Uppar,M,23,21,,"market_area,night_ops",oneoff,Santosh
111,Puneeth,Iyer,M,54,19,,"cyber,weapon",oneoff,Girish
112,Zameer,Pujari,M,47,26,,"interstate,market_area",oneoff,Jagadish
113,Mahesh,Jadhav,M,36,14,,"night_ops,narcotics",oneoff,Sunil
114,Shivakumar,Kumar,M,32,9,,"market_area,weapon",oneoff,Raghavendra
115,Farhan,Lamani,M,35,30,,market_area,oneoff,Rizwan
116,Kiran,Kumar,M,55,1,,weapon,oneoff,Rizwan
117,Karthik,Lamani,M,29,9,,"weapon,market_area",oneoff,Mahesh
118,Ganesh,Shetty,M,48,13,,"market_area,night_ops",oneoff,Farhan
119,Varun,Rao,M,28,10,,vehicle,oneoff,Ravi
120,Ramesh,Pujari,M,23,18,,interstate,oneoff,Gopal
121,Mahesh,Bhat,M,30,5,,"weapon,vehicle",oneoff,Pavan
122,Eshwar,Badiger,M,32,18,,interstate,oneoff,Devaraj
123,Arun,Pawar,M,55,4,,"night_ops,vehicle",oneoff,Imran
124,Nagaraj,Angadi,M,45,6,,narcotics,oneoff,Venkatesh
125,Ranganath,Naik,M,34,20,,weapon,oneoff,Srinivas
126,Zeenath,Devadiga,F,27,26,,vehicle,oneoff,Waseem
127,Prakash,Doddamani,M,24,25,,"market_area,night_ops",oneoff,Gopal
128,Geetha,Gowda,F,20,5,,interstate,oneoff,Raghavendra
129,Nandish,Hegde,M,52,11,,"night_ops,interstate",oneoff,Kiran
130,Hemalatha,Acharya,F,42,29,,"vehicle,interstate",oneoff,Arun
131,Sharath,Patil,M,36,7,,narcotics,oneoff,Abdul
132,Tejaswini,Shetty,F,30,10,,weapon,oneoff,Kiran
133,Jagadish,Naik,M,38,24,,weapon,oneoff,Puneeth
134,Lohith,Gowda,M,30,16,,"night_ops,vehicle",oneoff,Pavan
135,Girish,Belagavi,M,23,28,,"night_ops,vehicle",oneoff,Shivakumar
136,Imran,Iyer,M,41,23,,night_ops,oneoff,Gopal
137,Varun,Kumar,M,35,24,,night_ops,oneoff,Imran
138,Kiran,Kumar,M,51,16,,"narcotics,market_area",oneoff,Mahesh
139,Harish,Sharma,M,18,17,,"narcotics,night_ops",oneoff,Dinesh
140,Rajesh,Kamath,M,52,5,,night_ops,oneoff,Venkatesh
141,Sunitha,Angadi,F,34,3,,cyber,oneoff,Raghavendra
142,Nithin,Kulkarni,M,50,20,,vehicle,oneoff,Omkar
143,Lohith,Mallya,M,46,13,,weapon,oneoff,Manjunath
144,Basavaraj,Naik,M,52,4,,narcotics,oneoff,Puneeth
145,Salman,Pujari,M,23,21,,narcotics,oneoff,Zameer
146,Lohith,Badiger,M,43,27,,"night_ops,weapon",oneoff,Uday
147,Venkatesh,Salian,M,36,7,,"market_area,cyber",oneoff,Rizwan
148,Uday,Belagavi,M,55,5,,night_ops,oneoff,Lokesh
149,Arun,Angadi,M,28,31,,night_ops,oneoff,Venkatesh
150,Mahesh,Hadimani,M,48,4,,night_ops,oneoff,Vinay
151,Chandru,Rao,M,47,10,,interstate,oneoff,Eshwar
152,Lohith,Iyer,M,48,12,,"vehicle,market_area",oneoff,Yashwanth
153,Tanveer,Hegde,M,39,5,,"night_ops,interstate",oneoff,Sharath
154,Hanumantha,Devadiga,M,40,3,,market_area,oneoff,Srinivas
155,Vinay,Kattimani,M,43,22,,cyber,oneoff,Ramesh
156,Farhan,Uppar,M,50,29,,night_ops,oneoff,Basavaraj
157,Kiran,Acharya,M,41,21,,interstate,oneoff,Naveen
158,Vijay,Salian,M,38,9,,night_ops,oneoff,Gopal
159,Kiran,Iyer,M,27,24,,night_ops,oneoff,Venkatesh
160,Chandru,Reddy,M,33,25,,"vehicle,cyber",oneoff,Ganesh
161,Sandeep,Uppar,M,28,24,,interstate,oneoff,Hanumantha
162,Yogesh,Hadimani,M,51,14,,cyber,oneoff,Suresh
163,Ramesh,Mallya,M,31,22,,"cyber,interstate",oneoff,Santosh
164,Omkar,Rao,M,32,11,,interstate,oneoff,Yashwanth
165,Ishwarya,Rao,F,22,22,,"vehicle,cyber",oneoff,Dinesh
166,Vijay,Kulkarni,M,37,28,,cyber,oneoff,Dinesh
167,Devaraj,Pujari,M,34,1,,"market_area,vehicle",oneoff,Nithin
168,Thimmaiah,Acharya,M,19,26,,"interstate,market_area",oneoff,Krishna
169,Ganesh,Pujari,M,22,14,,market_area,repeat,Sharath
170,Anil,Acharya,M,31,10,,interstate,oneoff,Ranganath
171,Vinay,Reddy,M,51,23,,"market_area,weapon",oneoff,Rajesh
172,Yashwanth,Hegde,M,37,9,,"vehicle,interstate",oneoff,Gopal
173,Kavya,Bhat,F,26,26,,vehicle,oneoff,Naveen
174,Ganesh,Wali,M,55,23,,weapon,oneoff,Madhu
175,Omkar,Bandi,M,26,3,,weapon,oneoff,Krishna
176,Chetan,Kamath,M,47,14,,"narcotics,cyber",oneoff,Eshwar
177,Santosh,Mudaliar,M,52,29,,weapon,oneoff,Nandish
178,Dinesh,Naik,M,37,7,,cyber,oneoff,Chandru
179,Pavan,Desai,M,48,26,,"narcotics,cyber",oneoff,Krishna
180,Gowramma,Angadi,F,23,2,,vehicle,oneoff,Raghavendra
181,Sharath,Murthy,M,26,11,,narcotics,oneoff,Sunil
182,Yogesh,Angadi,M,21,20,,"weapon,cyber",oneoff,Karthik
183,Umesh,Pawar,M,49,3,,interstate,oneoff,Vijay
184,Devaraj,Hadimani,M,41,9,,vehicle,oneoff,Devaraj
185,Vani,Jadhav,F,33,29,,interstate,oneoff,Vinay
186,Imran,Patil,M,39,15,,narcotics,oneoff,Dinesh
187,Vijay,Rai,M,34,24,,"narcotics,market_area",oneoff,Waseem
188,Srinivas,Kulkarni,M,46,17,,"interstate,market_area",oneoff,Yashwanth
189,Raghavendra,Kumar,M,31,1,,"weapon,interstate",oneoff,Salman
190,Mahesh,Reddy,M,39,9,,interstate,oneoff,Abdul
191,Naveen,Salian,M,44,11,,"interstate,weapon",oneoff,Salman
192,Suresh,Doddamani,M,50,27,,"interstate,narcotics",oneoff,Chetan
193,Kiran,Nayaka,M,21,16,,"market_area,night_ops",oneoff,Balaji
194,Madhu,Iyer,M,31,10,,narcotics,oneoff,Arun
195,Lohith,Naik,M,37,17,,"interstate,weapon",oneoff,Sandeep
196,Sharath,Doddamani,M,26,27,,"interstate,vehicle",oneoff,Suresh
197,Zeenath,Chavan,F,20,29,,"vehicle,market_area",oneoff,Gopal
198,Santosh,Reddy,M,22,12,,"narcotics,market_area",oneoff,Girish
199,Abdul,Bandi,M,42,18,,weapon,repeat,Ramesh
200,Nithin,Naik,M,44,27,,"narcotics,weapon",oneoff,Sharath
201,Lohith,Uppar,M,20,23,,"weapon,night_ops",oneoff,Uday
202,Karthik,Devadiga,M,18,22,,market_area,oneoff,Nagaraj
203,Madhu,Talawar,M,26,27,,interstate,oneoff,Harish
204,Sunil,Kattimani,M,48,7,,vehicle,oneoff,Prakash
205,Vijay,Kodagu,M,52,19,,vehicle,oneoff,Harish
206,Gopal,Mallya,M,20,8,,"vehicle,weapon",oneoff,Mohammed
207,Manjunath,Suvarna,M,31,4,,interstate,oneoff,Anand
208,Abdul,Suvarna,M,36,24,,"interstate,vehicle",oneoff,Sandeep
209,Dinesh,Bandi,M,41,9,,night_ops,oneoff,Hanumantha
210,Thimmaiah,Iyer,M,29,16,,"cyber,interstate",oneoff,Venkatesh
211,Basavaraj,Desai,M,28,26,,"interstate,market_area",oneoff,Darshan
212,Omkar,Devadiga,M,39,6,,cyber,oneoff,Ravi
213,Manjunath,Khan,M,30,3,,cyber,oneoff,Sharath
214,Anil,Badiger,M,24,22,,vehicle,oneoff,Balaji
215,Tanveer,Jadhav,M,52,23,,"vehicle,night_ops",oneoff,Ganesh
216,Rizwan,Sharma,M,55,20,,"narcotics,vehicle",oneoff,Shivakumar
