AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,FatherName,PersonID
1,1,Abdul Kodagu,27,M,Waseem,A1
2,2,Uday Achara,55,M,Arun,A1
3,3,Santosh Badiger,38,M,Karthik,A1
4,4,Omkar Naik,34,M,Nithin,A1
5,5,Salman Pawar,54,M,Anil,A1
6,6,Ramesh Hegde,40,M,Uday,A1
7,7,Manjunath Naik,28,M,Ramesh,A1
8,8,Darshan Mudaliar,27,M,Abdul,A1
9,9,Vinay Bhat,18,M,Balaji,A1
10,9,Prakash Kulkarni,44,M,,A2
11,9,Ravi Gowda,36,M,Puneeth,A3
12,9,Abdul Pawar,47,M,Vijay,A4
13,10,Balaji Wali,29,M,Umesh,A1
14,11,Reshma Mallya,49,F,Sharath,A1
15,12,Fatima Uppar,39,F,,A1
16,13,Vinay Acharya,44,M,Mahesh,A1
17,14,Gopal Gowda,30,M,,A1
18,15,Sharath Suvarna,32,M,Zameer,A1
19,16,Puneeth Salian,49,M,,A1
20,17,Varun Pujari,30,M,Uday,A1
21,18,Nandish Hadimani,29,M,,A1
22,19,Salman Gowda,37,M,Krishna,A1
23,20,Ganesh Rai,43,M,Basavaraj,A1
24,21,Darshan Hegde,49,M,Ranganath,A1
25,22,Anand Hadimani,43,M,Vijay,A1
26,23,Darshan Talawar,19,M,Balaji,A1
27,24,Akshata Kamath,51,F,,A1
28,25,Ayesha Wali,20,F,Shivakumar,A1
29,26,Girish Jadhav,50,M,Varun,A1
30,27,Chandru Hegde,47,M,Thimmaiah,A1
31,28,Sunil Uppar,51,M,Rajesh,A1
32,29,Zameer Angadi,34,M,Sharath,A1
33,30,Sandeep Rai,55,M,Manjunath,A1
34,31,Umesh Suvarna,53,M,Nithin,A1
35,32,Lohith Rai,29,M,Anand,A1
36,33,Rajesh Shanbhag,19,M,Sunil,A1
37,34,Devaraj Shnbhag,29,M,Venkatesh,A1
38,35,Yashwanth Mudaliar,40,M,Rizwan,A1
39,36,Arun Khan,36,M,Thimmaiah,A1
40,37,Krishna Suvarna,37,M,Basavaraj,A1
41,38,Manjunath Jadhav,21,M,Yogesh,A1
42,39,Manjunath Gaonkar,53,M,Ramesh,A1
43,40,Eshwar Kodagu,52,M,Salman,A1
44,41,Suresh Doddamani,50,M,,A1
45,42,Nandish Kodagu,19,M,Harish,A1
46,43,Anil Hiremath,26,M,Farhan,A1
47,44,Mohammed Uppar,34,M,Nagaraj,A1
48,45,Salman Murthy,24,M,Yogesh,A1
49,46,Gopal Talawar,39,M,,A1
50,47,Lokesh Talawar,19,M,Vijay,A1
51,48,Uday Hegde,41,M,Darshan,A1
52,48,Rachana Lamani,33,F,Tanveer,A2
53,48,Dinesh Belagavi,51,M,Puneeth,A3
54,48,Jagadish Setty,29,M,Nandish,A4
55,49,Thimmaiah Desai,38,M,Santosh,A1
56,50,Hanumantha Rai,39,M,,A1
57,51,Santosh Mallya,31,M,Gopal,A1
58,52,Noor Pujari,24,F,Venkatesh,A1
59,53,Mohammed Talawar,29,M,Harish,A1
60,54,Srinivas Salian,40,M,Abdul,A1
61,55,Prakash Kumar,39,M,Imran,A1
62,56,Tanveer Desai,42,M,Farhan,A1
63,57,Ganesh Kumar,23,M,Salman,A1
64,58,Rizwan Belagavi,38,M,Ravi,A1
65,59,Yashwanth Mallya,41,M,L.,A1
66,60,Farhan Kamath,46,M,Devaraj,A1
67,61,Karthik Naik,42,M,Naveen,A1
68,62,Ranganath Belagavi,35,M,Basavaraj,A1
69,63,Netravati Kattimani,44,F,Basavaraj,A1
70,64,Bharathi Talawar,54,F,Devaraj,A1
71,65,Praveen Kumar,21,M,Ranganath,A1
72,66,Shwetha Rao,32,F,Pavan,A1
73,67,Balaji Iyer,47,M,Hanumantha,A1
74,68,Mohammed Iyer,52,M,Ramesh,A1
75,69,Basavaraj Devadiga,23,M,Nithin,A1
76,70,Indira Kattimani,33,F,Santosh,A1
77,71,Omkar Chavan,25,M,Sunil,A1
78,72,Vijay Bandi,55,M,,A1
79,73,Lakshmy Wali,47,F,Eshwar,A1
80,74,Nandish Talawar,44,M,Naveen,A1
81,75,Madhu Lamani,51,M,Farhan,A1
82,76,Anand Doddamani,44,M,Chetan,A1
83,77,Harish Desai,33,M,Varun,A1
84,78,Nagaraj Desai,44,M,Yashwanth,A1
85,79,Rajesh Kumar,21,M,Sunil,A1
86,80,Zameer Kulkarni,19,M,Prakash,A1
87,81,Anand Kamath,22,M,Eshwar,A1
88,82,Harish Mrthy,21,M,Anil,A1
89,83,Lokesh Sharma,49,M,Madhu,A1
90,84,Ranganath Talawar,22,M,Yashwanth,A1
91,85,Anil Pujari,43,M,Lohith,A1
92,86,Manjunath Shanbhag,48,M,Hanumantha,A1
93,87,Geetha Uppar,23,F,Madhu,A1
94,88,Lakshmi Bat,37,F,Omkar,A1
