CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID
1,Sunil Madiwalar,44,7,,
2,Nagaraj Hegde,58,4,,
3,Shivakumar Nayaka,46,8,,
4,Zeenath Bandi,36,5,,
5,Balaji Reddy,64,2,,
6,Ayesha Reddy,22,10,,
7,Bharathi Jadhav,58,9,,
8,Sunil Hiremath,55,7,,
9,Deepika Pujari,41,10,,
10,Divya Khan,23,6,,
11,Arun Mallya,24,2,,
12,Sunil Pujari,53,8,,
13,Salman Khan,48,6,,
14,Roopa Suvarna,62,6,,
15,Padma Lamani,33,7,,
16,Fatima Gowda,26,4,,
17,Sunitha Mallya,47,1,,
18,Divya Shetty,39,2,,
19,Waseem Kamath,60,1,,
20,Uma Kulkarni,47,2,,
21,Deepika Nayaka,35,4,,
22,Raghavendra Reddy,56,3,,
23,Lalitha Salian,20,4,,
24,Mahesh Shanbhag,40,5,,
25,Kavya Salian,59,8,,
26,Venkatesh Reddy,52,6,,
27,Kamala Pujari,44,8,,
28,Sushma Badiger,59,3,,
29,Yogesh Murthy,64,7,,
30,Sunil Reddy,63,7,,
31,Dinesh Murthy,36,6,,
32,Roopa Reddy,52,5,,
33,Srinivas Acharya,36,5,,
34,Meena Murthy,36,6,,
35,Abdul Jadhav,54,8,,
36,Srinivas Mudaliar,35,9,,
37,Triveni Gowda,57,6,,
38,Uday Pujari,34,7,,
39,Vijay Lamani,24,3,,
40,Tejaswini Mudaliar,34,7,,
41,Latha Khan,23,1,,
42,Padma Uppar,50,2,,
43,Sabiha Khan,34,10,,
44,Rizwan Salian,59,3,,
45,Venkatesh Jadhav,44,7,,
46,Jyothi Naik,49,4,,
47,Raghavendra Lamani,22,9,,
48,Usha Kulkarni,63,3,,
49,Praveen Angadi,49,9,,
50,Uma Kumar,35,6,,
51,Prakash Talawar,32,10,,
52,Santosh Hadimani,60,9,,
53,Meena Desai,42,3,,
54,Sabiha Suvarna,57,4,,
55,Rekha Badiger,44,10,,
56,Manjula Talawar,38,8,,
57,Anitha Hadimani,41,10,,
58,Pallavi Hegde,29,3,,
59,Abdul Kodagu,43,3,,
60,Meena Nayaka,43,4,,
61,Eshwar Murthy,40,8,,
62,Omkar Jadhav,46,6,,
63,Anitha Chavan,57,1,,
64,Harini Wali,57,5,,
65,Jyothi Reddy,45,9,,
66,Kalpana Gaonkar,27,5,,
67,Devaraj Rao,20,5,,
68,Yogesh Desai,36,3,,
69,Suresh Suvarna,30,1,,
70,Padma Pujari,41,6,,
71,Uday Wali,22,9,,
72,Waseem Shanbhag,42,6,,
73,Kalpana Naik,29,6,,
74,Indira Suvarna,23,8,,
75,Usha Kodagu,65,10,,
