CaseMasterID,VictimName,AgeYear,GenderID
1,Mahesh Devadiga,67,M
1,Harish Devadiga,53,M
2,Chetan Devadiga,64,M
2,Chaitra Devadiga,28,F
3,Dhanya Devadiga,47,F
4,Prakash Kamath,59,M
5,Reshma Kattimani,50,F
5,Sabiha Sharma,35,F
7,Umesh Hegde,40,M
7,Bhavya Bandi,37,F
8,Pallavi Nayaka,60,F
9,Krishna Hegde,24,M
9,Kamala Doddamani,50,F
10,Harini Hadimani,56,F
10,Naveen Bandi,23,M
11,Nandish Madiwalar,57,M
13,Santosh Badiger,24,M
14,Harini Mudaliar,68,F
16,Sushma Shetty,36,F
18,Arun Angadi,34,M
22,Chaitra Badiger,61,F
25,Meena Angadi,49,F
25,Harish Gowda,59,M
26,Ganesh Belagavi,20,M
28,Sunil Desai,36,M
28,Sunitha Iyer,52,F
29,Venkatesh Patil,65,M
29,Kamala Murthy,29,F
30,Nagaraj Hiremath,33,M
31,Ayesha Gaonkar,16,F
40,Gopal Patil,60,M
40,Shwetha Shanbhag,55,F
41,Shivakumar Murthy,55,M
42,Deepika Doddamani,25,F
42,Balaji Madiwalar,25,M
45,Sharath Wali,44,M
45,Bharathi Patil,38,F
46,Chandana Acharya,36,F
46,Waseem Nayaka,36,M
47,Basavaraj Mudaliar,25,M
47,Mamatha Iyer,67,F
48,Naveen Kumar,51,M
49,Vijay Kumar,52,M
51,Tanveer Gaonkar,30,M
51,Divya Gowda,36,F
52,Girish Jadhav,22,M
52,Hemalatha Badiger,40,F
53,Chaitra Salian,61,F
53,Rachana Doddamani,55,F
55,Imran Murthy,33,M
55,Shivakumar Rao,18,M
56,Noor Rai,39,F
60,Fatima Kulkarni,69,F
60,Savitha Gaonkar,53,F
63,Jyothi Suvarna,64,F
64,Manjunath Suvarna,55,M
65,Rizwan Badiger,64,M
66,Puneeth Pujari,48,M
66,Hemalatha Pujari,62,F
68,Sandeep Lamani,68,M
68,Anitha Naik,44,F
69,Yogesh Doddamani,50,M
70,Ravi Mudaliar,34,M
70,Ramesh Hadimani,30,M
71,Nandini Shanbhag,58,F
71,Sandeep Shanbhag,66,M
74,Padma Hadimani,21,F
75,Kalpana Patil,52,F
77,Kamala Rao,29,F
79,Sushma Bhat,23,F
79,Shivakumar Suvarna,40,M
80,Yashwanth Salian,56,M
82,Abdul Kattimani,30,M
82,Tejaswini Gowda,28,F
84,Kiran Shanbhag,61,M
84,Uma Doddamani,61,F
85,Bindu Hegde,42,F
86,Reshma Patil,25,F
87,Rekha Shetty,59,F
87,Deepika Talawar,20,F
88,Jyothi Shanbhag,37,F
89,Sahana Wali,25,F
89,Jagadish Jadhav,60,M
91,Vidya Kamath,22,F
93,Tanveer Nayaka,38,M
93,Rachana Chavan,23,F
95,Balaji Bhat,63,M
95,Nithin Kodagu,20,M
96,Roopa Kulkarni,20,F
96,Rajesh Salian,63,M
97,Venkatesh Madiwalar,67,M
98,Savitha Jadhav,54,F
98,Bharathi Kattimani,45,F
99,Jagadish Nayaka,29,M
100,Deepika Mudaliar,53,F
102,Basavaraj Uppar,70,M
102,Rachana Kattimani,37,F
103,Imran Talawar,53,M
104,Bindu Kamath,70,F
104,Harini Suvarna,57,F
106,Arun Gaonkar,69,M
108,Geetha Doddamani,35,F
110,Uday Rao,46,M
110,Kamala Shanbhag,43,F
111,Netravati Shetty,28,F
111,Ganesh Murthy,20,M
114,Shivakumar Patil,21,M
116,Sabiha Sharma,50,F
117,Girish Reddy,22,M
117,Basavaraj Hegde,50,M
118,Puneeth Sharma,49,M
118,Gowramma Suvarna,54,F
121,Nagaraj Madiwalar,48,M
121,Nandini Rao,29,F
122,Bhavya Rao,22,F
122,Savitha Gowda,37,F
123,Ayesha Doddamani,27,F
125,Kamala Pujari,23,F
129,Harini Kumar,64,F
129,Ranganath Badiger,31,M
130,Latha Kodagu,58,F
131,Roopa Murthy,47,F
134,Meena Kamath,25,F
134,Sunil Khan,25,M
135,Reshma Angadi,56,F
136,Waseem Salian,60,M
136,Dhanya Rao,32,F
137,Gayathri Naik,44,F
138,Mohammed Badiger,31,M
138,Fatima Desai,31,F
139,Roopa Hiremath,66,F
139,Ruksana Sharma,38,F
141,Srinivas Kodagu,25,M
142,Manjula Sharma,17,F
142,Mahesh Doddamani,37,M
144,Uday Mudaliar,43,M
145,Jyothi Uppar,68,F
145,Ganesh Murthy,52,M
146,Naveen Acharya,54,M
147,Santosh Salian,46,M
148,Lohith Kumar,65,M
151,Sunitha Acharya,53,F
151,Anand Nayaka,55,M
153,Balaji Suvarna,25,M
155,Basavaraj Iyer,31,M
155,Dinesh Pawar,21,M
156,Vani Salian,64,F
157,Pallavi Angadi,30,F
158,Akshata Sharma,56,F
161,Dinesh Mallya,17,M
161,Rachana Lamani,47,F
163,Sunitha Hiremath,37,F
165,Lohith Jadhav,19,M
165,Chaitra Pujari,18,F
166,Suresh Sharma,24,M
168,Sunil Lamani,70,M
168,Padma Jadhav,58,F
170,Vidya Mudaliar,65,F
170,Nagaraj Nayaka,48,M
171,Triveni Pujari,48,F
172,Lokesh Gowda,31,M
174,Ganesh Chavan,22,M
175,Balaji Kodagu,36,M
175,Nithin Murthy,52,M
176,Krishna Kodagu,29,M
176,Ranganath Pujari,48,M
181,Rajesh Chavan,26,M
182,Praveen Devadiga,24,M
184,Kamala Hiremath,63,F
184,Salman Murthy,18,M
185,Devaraj Gowda,20,M
186,Umesh Bhat,30,M
187,Ruksana Devadiga,26,F
188,Chaitra Khan,33,F
189,Chandana Gowda,39,F
189,Uday Kattimani,25,M
191,Zameer Reddy,21,M
191,Indira Iyer,39,F
195,Nandish Kodagu,70,M
197,Bharathi Mallya,18,F
197,Ravi Badiger,38,M
198,Praveen Jadhav,25,M
198,Santosh Salian,42,M
200,Tanveer Kumar,48,M
200,Imran Pujari,24,M
201,Akshata Doddamani,55,F
201,Kalpana Rai,36,F
202,Pooja Kumar,62,F
202,Uma Khan,24,F
204,Bhavya Jadhav,18,F
205,Ruksana Bhat,47,F
206,Lalitha Kamath,49,F
206,Bharathi Bhat,64,F
207,Gopal Sharma,32,M
207,Shivakumar Devadiga,47,M
208,Vinay Mudaliar,61,M
209,Raghavendra Mudaliar,65,M
210,Harini Rai,59,F
214,Usha Kulkarni,46,F
214,Umesh Rao,21,M
217,Dhanya Mudaliar,33,F
219,Vani Salian,33,F
220,Akshata Kumar,36,F
220,Sunil Naik,45,M
223,Farhan Hegde,46,M
225,Ishwarya Madiwalar,30,F
226,Krishna Badiger,62,M
227,Imran Kumar,34,M
228,Mohammed Lamani,35,M
230,Jyothi Gowda,39,F
231,Srinivas Hiremath,53,M
231,Yogesh Shetty,69,M
232,Bhavya Wali,31,F
233,Jyothi Madiwalar,20,F
235,Yashoda Lamani,46,F
